DATE_TIME,current_contract,next_contract,carry_contract
2016-06-02 08:00:00,20160600,20160900,20160900
2016-09-02 08:00:00,20160900,20161200,20161200
2016-12-01 08:00:00,20161200,20170300,20170300
2017-03-02 08:00:00,20170300,20170600,20170600
2017-06-02 08:00:00,20170600,20170900,20170900
2017-09-03 23:00:00,20170900,20171200,20171200
2017-12-01 08:00:00,20171200,20180300,20180300
2018-03-02 08:00:00,20180300,20180600,20180600
2018-06-03 23:00:00,20180600,20180900,20180900
2018-09-02 23:00:00,20180900,20181200,20181200
2018-12-03 01:00:00,20181200,20190300,20190300
2019-03-04 03:00:00,20190300,20190600,20190600
2019-06-02 23:00:00,20190600,20190900,20190900
2019-09-02 08:00:00,20190900,20191200,20191200
2019-12-02 08:00:00,20191200,20200300,20200300
2020-03-02 08:00:00,20200300,20200600,20200600
2020-06-02 08:00:00,20200600,20200900,20200900
2020-09-02 08:00:00,20200900,20201200,20201200
2020-12-01 08:00:00,20201200,20210300,20210300
2021-03-02 08:00:00,20210300,20210600,20210600
2021-05-26 02:00:00,20210600,20210900,20210900
2021-08-26 19:00:01,20210900,20211200,20211200
2021-11-23 20:00:01,20211200,20220300,20220300
2022-02-23 19:00:01,20220300,20220600,20220600
2022-02-28 19:00:00,20220600,20220900,20220900
